keys,en,ru
card_description_001,Description,
card_energy_002,0,
music_button_button3_003,Toggle music,
arrow_id_004,label,
cards_button_005,Draw new cards,
cards_energy_006,3,
title_label2_007,by bleeptrack & blinry,
title_label3_008,Original score by winniehell,
title_button_009,Levels,
title_button3_010,Sandbox,
title_button2_011,Quit,
survey_label_012,Oh My Git!,
survey_button_013,Support us! (Open two browser tabs),
main_levelname_014,Level name here!,
main_leveldescription_015,Level description here!,
main_backbutton_016,Back,
main_reloadbutton2_017,Reload,
main_cardsbutton_018,Cards!,
main_tip_019,Tip!,
main_nextlevelbutton_020,Next level,
terminal_button_021,"git commit --allow-empty -m ""$RANDOM""",
terminal_button2_022,git checkout HEAD^,
terminal_button3_023,"git checkout -b ""$RANDOM""",
repository_label_024,Repo name,
repository_indexlabel_025,Index:,
repository_button_026,Update,
repository_simplifycheckbox_027,Hide trees and blobs,
node_id_028,object_id,
level_select_button3_029,To the survey /o/,
no_git_button2_030,"Sure, I'll install it!",
notification_label_031,This is a hint! This is a hint! This is a hint! This is a hint! This is a hint! This is a hint! This is a hint! This is a hint! This is a hint!,
notification_ok_032,Got it!,
file_browser_title_033,title,
file_browser_button_034,root,
file_browser_button2_035,dir,
file_browser_savebutton_036,Save,
text_editor_texteditor_038,Text here,
file_browser_item_label_039,filename,
merge_title_040,Merging timelines,
merge_description_041,"Here's a trick so that you can sleep a bit longer: just do all your morning activities in parallel universes, and then at the end, merge them together!",
merge_congrats_042,I wonder if you're more relaxed when you *sleep* in parallel timelines...,
merge_win_hint_043,"Build a situation where you consumed a baguette, a coffee, *and* a donut.",
merge_win_hint_044,Be on a merge commit.,
conflict_title_045,Contradictions,
conflict_description_046,"Sometimes, timelines will contradict each other.

For example, in this case, one of our clients wants these timelines merged, but they ate different things for breakfast in both timelines.

Try to merge them together! You'll notice that there will be a conflict! The time machine will leave it up to you how to proceed: you can edit the problematic item, it will show you the conflicting sections. You can keep either of the two versions - or create a combination of them! Remove the >>>, <<<, and === markers, and make a new commit to finalize the merge!

Let your finalized timeline be the ""main"" one.",
conflict_congrats_047,"Yum, that sounds like a good breakfast!",
conflict_win_hint_048,Make a breakfast compromise in the 'main' branch.,
mergeabort_title_049,Abort a merge,
mergeabort_description_050,"Sometimes you want to merge two commits, but a merge conflict occurs that you currently don't want to resolve.

In these situations you can abort the merge to merge later. Use
    git merge --abort
when you are in a merge process.

Try to merge both commits and abort the merge afterwards.",
mergeabort_congrats_051,"Aaah, let's merge later...",
mergeabort_win_hint_052,You tried to merge?,
mergeabort_win_hint_053,You aborted to merge?,
reset_title_054,Resetting files in the index,
reset_description_055,"See the dark shadow behind the icons? That's the version of the file in the last commit!

For example, these candles have been blown out, and that change has been added.

But you decide that this was a mistake! You only want to blow out the red candle in the next commit!

If you already have updated the index to a changed file, but want to reset it, you can use `git reset`!",
reset_win_hint_056,Reset the changes in the green and blue candles!,
reset_win_hint_057,And make a commit!,
change_title_058,Update files in the index,
